Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Date,Letterboxd URI,totalSeasons
Jay and Silent Bob Strike Back,2001,R,24 Aug 2001,104 min,Comedy,Kevin Smith,Kevin Smith,"Jason Mewes, Kevin Smith, Amy Noble","Jay and Silent Bob Strike Back is a tale of adventure on the open road. When Dante and Randal (of Clerks fame) get a restraining order to keep the punchy Jay and his hetero life-mate, Silent Bob, from selling drugs in front of the Quick Stop convenience store, their lives are suddenly empty. They find new purpose when their friend, Brodie, informs them a movie is being made featuring two infamous characters based on their likenesses. After visiting one of the creators of the Bluntman and Chronic, Holden McNeil, they set out to get what fat movie cash they deserve and hopefully put an end to people slandering them on the Internet. Along the way, they learn the rules of the road from a hitchhiking George Carlin, ride with a group of gorgeous jewel thieves, and incur the wrath of a hapless wildlife marshal for liberating an orangutan named Suzanne. The quest takes them from New Jersey to Hollywood where a showdown involving the police, the jewel thieves, and the Bluntman and Chronic filmmakers will decide the fate of Suzanne, Jay, Silent Bob, and their good names.",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZjAxZDU1YjYtOGJjZC00NjQ2LWFhNjEtZGVhZDZhYTlhMzUyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",51,6.8,"165,040",tt0261392,movie,N/A,"$30,085,147",N/A,N/A,True,,,
Dolemite,1975,R,26 Apr 1975,90 min,"Action, Comedy, Crime",D'Urville Martin,"Jerry Jones, Rudy Ray Moore","Rudy Ray Moore, D'Urville Martin, Jerry Jones","Dolemite is a pimp who was set up by Willie Greene and the cops, who have planted drugs, stolen furs, and guns in his trunk and got him sentenced to 20 years in jail. One day, Queen B and a warden planned to get him out of Jail and get Willie Green and Mitchell busted for what they did to him. However, Dolemite is no stupid man and has a lot of warriors backing him, such as his call girls, who are Karate Experts--and lots more....",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWNkNjliYmItYmQ3Ni00ZTNmLWI0MTUtZGM5NDg5YTI5ZGIxXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",67,5.6,"6,984",tt0072895,movie,N/A,N/A,N/A,N/A,True,,,
Dolemite Is My Name,2019,R,25 Oct 2019,118 min,"Biography, Comedy, Drama",Craig Brewer,"Scott Alexander, Larry Karaszewski","Eddie Murphy, Keegan-Michael Key, Mike Epps","Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",English,United States,30 wins & 66 nominations total,https://m.media-amazon.com/images/M/MV5BOTYyNGU3MDctZWU1NS00N2Y5LWE2MDUtOWFlMmVmM2IzNDQ5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",76,7.2,"66,957",tt8526872,movie,N/A,N/A,N/A,N/A,True,,,
Saloum,2021,N/A,08 Sep 2022,84 min,"Action, Horror, Thriller",Jean Luc Herbulot,"Jean Luc Herbulot, Pamela Diop","Yann Gael, Evelyne Ily Juhen, Roger Sallah","In 2003, a trio of mercenaries escaping a coup in Guinea-Bissau take refuge in a hidden region on the Saloum river of Senegal. But something from beyond the grave awaits them there.","French, Wolof","Senegal, France",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNGMwNDE4YzgtYzBhYS00YmI3LTk1OTUtY2M3OTIxZDRhNGVkXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",78,6.2,"3,266",tt10756184,movie,N/A,"$5,078",N/A,N/A,True,,,
The Other Guys,2010,PG-13,06 Aug 2010,107 min,"Action, Comedy, Crime",Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Mark Wahlberg, Derek Jeter","Terry Hoitz's past mistakes in the line of duty and Allen Gamble's reluctance to take risks have landed them the roles of the ""Other Guys"", disgraced New York City police detectives relegated to filling out paperwork for cocky hero cops Danson and Highsmith. The mismatched duo must look past their differences when they take on a high-profile investigation of shady capitalist David Ershon and attempt to fill the shoes of the notoriously reckless officers they idolize.","English, Ukrainian",United States,3 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BODU1OTY5ZTYtNWQ0MC00ZWE1LTkyYjEtZTI2ODM1ZGE2MjBkXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",64,6.7,"303,001",tt1386588,movie,N/A,"$119,219,978",N/A,N/A,True,,,
I Am a Fugitive from a Chain Gang,1932,Approved,19 Nov 1932,92 min,"Crime, Drama, Film-Noir",Mervyn LeRoy,"Robert E. Burns, Howard J. Green, Brown Holmes","Paul Muni, Glenda Farrell, Helen Vinson","Having returned from fighting in World War I, James Allen doesn't want to settle into a humdrum life and decides to set off to find his fortune. He travels the length and breadth of America, working as a skilled tradesman in the construction industry. When times get tough however, he finds himself living in a shelter where an acquaintance suggests they go out for a hamburger. What the friend really has in mind is to rob the diner and Allen soon finds himself working on a chain gang with a long jail sentence. Allen manages to escape however and heads to Chicago where over several years he slowly but surely works his way up the ladder to become one of the most respected construction engineers in the city. His past catches up with him and despite protestations from civic leaders and his many friends in Chicago, he finds himself again on the chain gang. Escaping for a second time, he accepts that to survive, he must lead a life of crime.",English,United States,Nominated for 3 Oscars. 6 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BM2M2MTE4NTMtYTM3Mi00ODMwLTg2MjctMjNiMmQ0ZTA4N2M3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",N/A,8.2,"15,317",tt0023042,movie,N/A,N/A,N/A,N/A,True,,,
Blast from the Past,1999,PG-13,12 Feb 1999,112 min,"Comedy, Drama, Romance",Hugh Wilson,"Bill Kelly, Hugh Wilson","Brendan Fraser, Alicia Silverstone, Christopher Walken","Adam Weber is the child of an eccentric inventor and his wife. Following a bomb scare in the 1960s that locked the Webers in their bomb shelter for 35 years, Adam Weber must venture out into Los Angeles and obtain food and supplies for his family. He meets Eve, who reluctantly agrees to help him out.","English, French, German, Latin, Spanish",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BODQ0ZmNkYzMtYjhlOC00YWM0LTg4NzUtZmM1NWZkNTMyNmYyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",50,6.7,"75,400",tt0124298,movie,N/A,"$26,511,114",N/A,N/A,True,,,
Gagarine,2020,N/A,23 Jun 2021,98 min,"Drama, Fantasy","Fanny Liatard, Jérémy Trouilh","Fanny Liatard, Jérémy Trouilh, Benjamin Charbit","Alseni Bathily, Lyna Khoudri, Jamil McCraven","Teenager Youri (Alséni Bathily) has dreams of becoming an astronaut but must first battle to save his housing project home from demolition. This is a powerful story of class, race, imagination and wonder, that allows audiences to share Youri's dreams of space and weightlessness. This film will make souls soar and hearts beat faster, as it races towards its nail-biting finale.","French, Romany, Russian",France,7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNDM3ZDliMTctOTE2Yy00NDdlLWI2OTAtMzFiYjBhOGFiZjlkXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",74,6.7,"2,852",tt12444424,movie,N/A,N/A,N/A,N/A,True,,,
Army of Shadows,1969,Not Rated,19 Jun 1970,145 min,"Drama, War",Jean-Pierre Melville,"Joseph Kessel, Jean-Pierre Melville","Lino Ventura, Paul Meurisse, Jean-Pierre Cassel","France, 1942, under German occupation. Philippe Gerbier, a civil engineer, is a French Resistance commandant. Denounced by a French collaborator, he is interned in a concentration camp. He manages to escape, and rejoins his network in Marseille, where he has the traitor executed. This movie reveals rigorously and austerely what life was like in the French Resistance: the solitude and fear of its members; their relationships with one another; the constant threat of arrest by the Gestapo; the Resistance command structure and the way its orders were carried out. Head writer Joseph Kessel and co-writer/director Jean-Pierre Melville were both veterans of the ""Shadow Army"".","French, German, English","France, Italy",4 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTQxZGZhOTctM2MyYi00OGZkLTgwOWItNThlNjJkNWEwOWM5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",99,8.1,"27,228",tt0064040,movie,N/A,"$861,983",N/A,N/A,True,,,
"Onoda: 10,000 Nights in the Jungle",2021,N/A,13 Dec 2022,173 min,"Adventure, Drama, History",Arthur Harari,"Bernard Cendron, Arthur Harari, Vincent Poymiro","Yûya Endô, Kanji Tsuda, Yûya Matsuura","When Japan surrenders at the end of World War II, soldier Hiroo Onoda retreats into the jungles of the Philippines to continue the war himself for another 10,000 days.","Japanese, Filipino","France, Japan, Germany, Belgium, Italy, Cambodia",5 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BZjk4MmI3ZGYtODg4Zi00ZjBkLTg1YWMtY2NiMmIzNDc0ZWJhXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",78,7.2,"3,099",tt9844938,movie,N/A,N/A,N/A,N/A,True,,,
Nine Days,2020,R,30 Jul 2021,124 min,"Drama, Fantasy",Edson Oda,Edson Oda,"Winston Duke, Zazie Beetz, Bill Skarsgård","Will (Winston Duke) spends his days in a remote outpost watching the live Point of View (POV) on TV's of people going about their lives, until one subject perishes, leaving a vacancy for a new life on earth. Soon, several candidates - unborn souls - arrive at Will's to undergo tests determining their fitness, facing oblivion when they are deemed unsuitable. But Will soon faces his own existential challenge in the form of free-spirited Emma (Zazie Beetz), a candidate who is not like the others, forcing him to turn within and reckon with his own tumultuous past. Fueled by unexpected power, he discovers a bold new path forward in his own life. Making his feature-film debut after a series of highly acclaimed and award-winning short films and music videos, Japanese Brazilian director Edson Oda delivers a heartfelt and meditative vision of human souls in limbo, aching to be born against unimaginable odds, yet hindered by forces beyond their will.",English,"United States, United Kingdom",5 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BM2FhMTg4ZGYtOGNkZi00MTg2LTg4M2QtMGU3NmFjZTEzMjVjXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,6.8,"12,911",tt10451852,movie,N/A,"$694,849",N/A,N/A,True,,,
Man Bites Dog,1992,NC-17,15 Jan 1993,95 min,"Comedy, Crime, Drama","Rémy Belvaux, André Bonzel, Benoît Poelvoorde","Rémy Belvaux, André Bonzel, Benoît Poelvoorde","Benoît Poelvoorde, Jacqueline Poelvoorde-Pappaert, Nelly Pappaert","A camera crew follows a serial killer/thief around as he exercises his craft. He expounds on art, music, nature, society, and life as he offs mailmen, pensioners, and random people. Slowly he begins involving the camera crew in his activities, and they begin wondering if what they're doing is such a good idea, particularly when the killer kills a rival and the rival's brother sends a threatening letter.",French,Belgium,7 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNjAyZWRiZDktZWQ0OS00MTQ2LWE1ODgtMDBkZWNmNjQzYTA3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",67,7.4,"44,657",tt0103905,movie,N/A,"$205,569",N/A,N/A,True,,,
The Brand New Testament,2015,Not Rated,01 Sep 2015,114 min,"Comedy, Drama, Fantasy",Jaco Van Dormael,"Thomas Gunzig, Jaco Van Dormael","Pili Groyne, Benoît Poelvoorde, Catherine Deneuve","God lives in human form as a cynical writer with his young opinionated daughter in present-day Brussels, Belgium. She concludes that her dad is doing a terrible job and decides to rewrite the world, descending to earth in search of her own 6 messengers to write a brand new testament and change the status quo.","French, German","Belgium, France, Luxembourg",16 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMjM3OTAzMzYzNV5BMl5BanBnXkFtZTgwNTQ4MzU0MDI@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",70,7.1,"36,369",tt3792960,movie,N/A,"$127,910",N/A,N/A,True,,,
They Live,1988,R,04 Nov 1988,94 min,"Action, Horror, Sci-Fi",John Carpenter,"Ray Nelson, John Carpenter","Roddy Piper, Keith David, Meg Foster","Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.",English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3MjM3ODU1NV5BMl5BanBnXkFtZTgwMjU3NDU2MTE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",55,7.2,"159,881",tt0096256,movie,N/A,"$13,447,978",N/A,N/A,True,,,
Escape from New York,1981,R,10 Jul 1981,99 min,"Action, Adventure, Sci-Fi",John Carpenter,"John Carpenter, Nick Castle","Kurt Russell, Lee Van Cleef, Ernest Borgnine","In the future, crime is out of control and New York City's Manhattan is a maximum security prison. Grabbing a bargaining chip right out of the air, convicts bring down the President's plane in bad old Gotham. Gruff Snake Plissken, a one-eyed lone warrior new to prison life, is coerced into bringing the President, and his cargo, out of this land of undesirables.",English,"United Kingdom, United States",6 nominations total,https://m.media-amazon.com/images/M/MV5BMTUzMTY0Nzg0MV5BMl5BanBnXkFtZTgwMDU3MzQxMDE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",76,7.1,"169,065",tt0082340,movie,N/A,"$25,244,626",N/A,N/A,True,,,
Assault on Precinct 13,2005,R,19 Jan 2005,109 min,"Action, Crime, Drama",Jean-François Richet,"John Carpenter, James DeMonaco","Ethan Hawke, Laurence Fishburne, Gabriel Byrne","On New Year's Eve, inside a police station that's about to be closed for good, Officer Jake Roenick must cobble together a force made up of cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.","English, Serbian","France, United States",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTk4OTM3ODU4NF5BMl5BanBnXkFtZTcwNTM0NjcyMQ@@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",54,6.3,"83,453",tt0398712,movie,N/A,"$20,040,895",N/A,N/A,True,,,
The Matrix Resurrections,2021,R,22 Dec 2021,148 min,"Action, Sci-Fi",Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksandar Hemon","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","English, French, Spanish, Japanese","United States, Australia",Nominated for 1 BAFTA Award6 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMDMyNDIzYzMtZTMyMy00NjUyLWI3Y2MtYzYzOGE1NzQ1MTBiXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",63,5.6,"298,327",tt10838180,movie,N/A,"$37,686,805",N/A,N/A,True,,,
"They Shoot Horses, Don't They?",1969,M,20 Aug 1970,129 min,Drama,Sydney Pollack,"Horace McCoy, James Poe, Robert E. Thompson","Jane Fonda, Michael Sarrazin, Susannah York","Gloria is a young woman of the Depression. She has aged beyond her years and feels her life is hopeless, having been cheated and betrayed many times in her past. While recovering from a suicide attempt, she gets the idea from a movie magazine to head for Hollywood to make it as an actress. Robert is a desperate Hollywood citizen trying to become a director, never doubting he'll make it. Robert and Gloria meet and decide to enter a dance marathon, one of the crazes of the 1930's. The grueling dancing takes its toll on Gloria's already weakened spirit, and she tells Robert that she'd be better off dead, that her life is hopeless - all the while acting cruelly and bitterly, alienating those around her, trying to convince him to shoot her and put her out of her misery. After all, they shoot horses, don't they?",English,United States,Won 1 Oscar. 11 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMjUwNmFmMzQtNzAzOS00N2M4LWJlMzktYjZmZmY2MDliZTZhXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.8,"21,347",tt0065088,movie,N/A,"$12,600,000",N/A,N/A,True,,,
Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Mystery",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie","Pushing thirty, and defined by a hideous crime involving her bosom friend, Nina, emotionally scarred medical school dropout, Cassie, knows firsthand that some wounds never heal. Leading an uneventful existence, still living with her parents, waiting tables at a cheap coffee shop to earn a living, Cassie has found the perfect way to deal with the painful past. Dressed to kill, at night, Cassie frequents the local bars and nightclubs, pretending to be dead-drunk, utterly helpless and vulnerable. And, every week, lethally beautiful Cassie is on the prowl for all sorts of nocturnal predators and other wolves in sheep's clothing, who are unaware that, sometimes, the hunter can become the prey. Then, Ryan, a kindly and caring old classmate who is the bee's knees, enters the picture, and just like that, Cassie wants out. However, everybody knows that breaking bad habits is easier said than done. Could Ryan be the one?",English,"United Kingdom, United States",Won 1 Oscar. 116 wins & 195 nominations total,https://m.media-amazon.com/images/M/MV5BZDMyNTQ5ODYtMjU3YS00MjM3LWFmOGMtZjZlNDA3YWE3YjM0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.5,"228,197",tt9620292,movie,N/A,"$6,460,965",N/A,N/A,True,,,
Last Action Hero,1993,PG-13,18 Jun 1993,130 min,"Action, Adventure, Comedy",John McTiernan,"Zak Penn, Adam Leff, Shane Black","Arnold Schwarzenegger, F. Murray Abraham, Art Carney","Young Danny Madigan is a huge fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the newest Jack Slater movie, Danny is transported into Slater's world, his number one hero where the good guys always win. It's a dream come true for Danny, but things take a turn for the worse when one of Slater's enemies, Benedict the hit man, gets ahold of the ticket and ends up in Danny's world. Slater and Danny must join forces and travel back and stop him at all costs before it'll be the end of Jack Slater.",English,United States,1 win & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZGU2NWQyY2ItY2JiZS00ZDJhLWI0NDQtNjMyNWU3MDA1NTgzXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",44,6.5,"171,378",tt0107362,movie,N/A,"$50,016,394",N/A,N/A,True,,,
Godzilla,2014,PG-13,16 May 2014,123 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Dave Callaham, Max Borenstein","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston","In 1999, the Janjira nuclear plant was mysteriously destroyed with most hands lost including supervisor Joe Brody's colleague and wife, Sandra. Years later, Joe's son, Ford, a US Navy ordnance disposal officer, must go to Japan to help his estranged father who obsessively searches for the truth of the incident. In doing so, father and son discover the disaster's secret cause on the wreck's very grounds. This enables them to witness the reawakening of a terrible threat to all of Humanity, which is made all the worse with a second secret revival elsewhere. Against this cataclysm, the only hope for the world may be Godzilla, but the challenge for the King of the Monsters will be great even as Humanity struggles to understand the destructive ally they have.","English, Japanese","United States, Japan",7 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BODE2NTdmMmYtY2U1OS00MjExLWIwNjQtYjQ5NTA0ZDZmZjZiXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",62,6.4,"458,647",tt0831387,movie,N/A,"$200,676,069",N/A,N/A,True,,,
Ace in the Hole,1951,Approved,04 Jul 1951,111 min,"Drama, Film-Noir",Billy Wilder,"Billy Wilder, Lesser Samuels, Walter Newman","Kirk Douglas, Jan Sterling, Robert Arthur","Charles Tatum, a down-on-his-luck reporter, takes a job with a small New Mexico newspaper. The job is pretty boring until he finds a man trapped in an old Indian dwelling. He jumps at the chance to make a name for himself by taking over and prolonging the rescue effort, and feeding stories to major newspapers. He creates a national media sensation and milks it for all it is worth - until things go terribly wrong.","English, Spanish, Latin",United States,Nominated for 1 Oscar. 5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDY5MmVmODktYjg5Yi00ZDg4LThiOGItN2MzOWViZjVjMGUwXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,8.1,"41,390",tt0043338,movie,N/A,N/A,N/A,N/A,True,,,
The Bridge on the River Kwai,1957,PG,14 Dec 1957,161 min,"Adventure, Drama, War",David Lean,"Pierre Boulle, Carl Foreman, Michael Wilson","William Holden, Alec Guinness, Jack Hawkins","During WW II, allied POWs in a Japanese internment camp are ordered to build a bridge to accommodate the Burma-Siam railway. Their instinct is to sabotage the bridge, but under the leadership of Colonel Nicholson they're persuaded the bridge should be built to help morale, spirit. At first, the prisoners admire Nicholson when he bravely endures torture rather than compromise his principles for the benefit of Japanese Commandant Colonel Saito, but soon they realise it's a monument to Nicholson, himself, as well as a form of collaboration with the enemy.","English, Japanese, Thai","United Kingdom, United States",Won 7 Oscars. 30 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNzdkYmU2YmItNmZiYy00OWQyLTg0YWYtZmUxM2U3YTRiNTQ1XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",88,8.1,"245,523",tt0050212,movie,N/A,"$27,200,000",N/A,N/A,True,,,
The Man from Earth: Holocene,2017,N/A,15 Jan 2018,98 min,"Drama, Fantasy, Sci-Fi",Richard Schenkman,"Jerome Bixby, Richard Schenkman, Eric D. Wilkinson","David Lee Smith, Doug Haley, Davi Santos","14,000 year-old ""Man from Earth"" John Oldman is now comfortably hiding in plain sight as a college professor in Northern California. But his existence comes crashing down when four students discover his deepest secret, putting his life in grave danger and potentially shaking mankind to its very soul.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BZGNhOWZhMTgtZWVjNC00ZDQyLWEzNmYtZGYyNmYzYWJlYTEzXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",N/A,5.2,"11,163",tt5770864,movie,N/A,"$5,472",N/A,N/A,True,,,
Abraham Lincoln vs. Zombies,2012,R,29 May 2012,96 min,"Action, Comedy, Horror",Richard Schenkman,"Karl T. Hirsch (story), J. Lauren Proctor (story), Richard Schenkman (screenplay)","Bill Oberst Jr., Kent Igleheart, Rhianna Van Helton, Brennen Harper","As Abraham Lincoln labors over the Gettysburg address, the importance of which he is fully aware, he learns that a menace from his past has returned, threatening to tear the already fractured nation to pieces. He must journey behind enemy lines to face an foe far more fearsome than the Confederate army: the walking dead.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTA0NDY2MzQxODheQTJeQWpwZ15BbWU3MDU3OTcwNjc@._V1_SX300.jpg,[object Object],N/A,3.1,"3,851",tt2246549,movie,N/A,N/A,N/A,N/A,True,,,
Diplomacy,2014,Not Rated,05 Mar 2014,84 min,"Drama, History, War",Volker Schlöndorff,"Cyril Gely, Volker Schlöndorff","André Dussollier, Niels Arestrup, Burghart Klaußner","A historical drama that depicts the relationship between Dietrich von Choltitz, the German military governor of occupied Paris, and Swedish consul-general Raoul Nordling.","French, German","France, Germany",5 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTg1NDIzNTQ5N15BMl5BanBnXkFtZTgwMjY2MTU2MjE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.1,"6,018",tt3129564,movie,N/A,"$230,880",N/A,N/A,True,,,
Cool Runnings,1993,PG,01 Oct 1993,98 min,"Adventure, Comedy, Family",Jon Turteltaub,"Lynn Siefert, Michael Ritchie, Tommy Swerdlow","John Candy, Leon, Doug E. Doug","Four Jamaicans form their country's first ever bobsled team to compete in the upcoming 1988 Winter Olympics. They enlist the help of a disgraced former Olympic gold winner to reluctantly coach them. However, when they reach Canada they're treated as outsiders by the other teams, who fear they'll only succeed in embarrassing the sport.","English, German, Russian",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZjBmZDM0OTQtMjJiMi00NTEwLWEzNTktMTY5NWFmMDcwZmNjXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",60,7.0,"119,626",tt0106611,movie,N/A,"$68,856,263",N/A,N/A,True,,,
Buffet Froid,1979,Not Rated,19 Dec 1979,93 min,"Comedy, Crime, Drama",Bertrand Blier,Bertrand Blier,"Gérard Depardieu, Bernard Blier, Jean Carmet","Bizarre, unreal black comedy about solitude and the dehumanization of the modern world, through the adventures of three men. First introduced is Alphonse Tram, an unemployed young man. His only neighbour is the police chief-inspector Morvandieu. The third man is the murderer of Alphonse's wife.",French,France,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMmM3OWQxMWEtNDAyNy00ZmJhLTkxN2ItNmRlZmI2NTMzMzJiXkEyXkFqcGc@._V1_SX300.jpg,[object Object],N/A,7.2,"6,945",tt0078913,movie,N/A,N/A,N/A,N/A,True,,,
The Lego Batman Movie,2017,PG,10 Feb 2017,104 min,"Animation, Action, Adventure",Chris McKay,"Seth Grahame-Smith, Chris McKenna, Erik Sommers","Will Arnett, Michael Cera, Rosario Dawson","There are big changes brewing in Gotham City, and if he wants to save the city from The Joker's hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",English,"United States, Denmark, Australia",13 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",75,7.3,"188,106",tt4116284,movie,N/A,"$175,936,671",N/A,N/A,True,,,
The Lego Movie 2: The Second Part,2019,PG,08 Feb 2019,107 min,"Animation, Adventure, Comedy",Mike Mitchell,"Phil Lord, Christopher Miller, Matthew Fogel","Chris Pratt, Elizabeth Banks, Will Arnett","It's been five years since everything was awesome and the citizens are facing the huge new threat of Lego Duplo, invaders from outer space, wrecking everything faster than they can rebuild.",English,"Denmark, Norway, Australia, United States",1 win & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",65,6.5,"83,134",tt3513498,movie,N/A,"$105,956,290",N/A,N/A,True,,,
Spaceballs,1987,PG,24 Jun 1987,96 min,"Adventure, Comedy, Sci-Fi",Mel Brooks,"Mel Brooks, Thomas Meehan, Ronny Graham","Mel Brooks, John Candy, Rick Moranis","On the peaceful planet Druidia, King Roland attempts to marry his daughter Princess Vespa to Prince Valium, but Vespa and her loyal droid Dot Matrix escape during her wedding. After wasting the fresh air on the distant planet Spaceball, the good-for-nothing President Skroob orders the archvillain henchman Dark Helmet to kidnap Princess Vespa to force King Roland to provide them with the code to Druidia's atmosphere. Under those circumstances, the seasoned mercenary Lone Starr and his trusty half-human, half-canine sidekick Barf will attempt to save the Princess in distress, while at the same time, the ruthless loan-shark Pizza the Hutt is after them. But in the end, only he who can harness the mystical and mighty force known only as ""The Schwartz"" will be able to save the day.","English, German",United States,1 win total,https://m.media-amazon.com/images/M/MV5BZWNhNWM3NWQtNTMwNy00NThiLWFkZDYtYzBlZTQyZGU2YzE1XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",46,7.1,"222,250",tt0094012,movie,N/A,"$38,119,483",N/A,N/A,True,,,
Asterix & Obelix: God Save Britannia,2012,,,,,,,,,,,,,,,,,,,,,,,,2023-08-16,https://boxd.it/3q3K,
Fragments of Antonin,2006,N/A,08 Nov 2006,90 min,"Drama, War",Gabriel Le Bomin,Gabriel Le Bomin,"Grégori Derangère, Anouk Grinberg, Aurélien Recoing",A psychiatrist who probes the mind of traumatized soldiers attempts to unlock the secret that drove a gentle but deeply-disturbed World War I veteran to the edge of insanity.,French,France,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTI2MDE4MzUxMV5BMl5BanBnXkFtZTcwODcyNzkyMg@@._V1_SX300.jpg,[object Object],N/A,6.9,250,tt0452780,movie,N/A,N/A,Rézo Films,N/A,True,,,
